Feature Set,Target,Dims,MAE,RMSE,Spearman ρ,PR-AUC,ROC-AUC,F1,Precision,Recall,Accuracy
Engineered only,coverage_fraction,34,0.009750893339514732,0.02992546372115612,0.5149726670393159,0.9403206237215527,0.9859555555555555,0.75,0.6126760563380281,0.9666666666666667,0.9398963730569948
Engineered+Prithvi,coverage_fraction,1058,0.010520357638597488,0.02733912318944931,0.49613730448067933,0.9060277301494764,0.9790984126984127,0.7782805429864253,0.6564885496183206,0.9555555555555556,0.9492227979274611
Prithvi only,coverage_fraction,1024,0.037735119462013245,0.04634825140237808,0.2619971387941861,0.16596598422058256,0.7352126984126984,0.2553191489361702,0.14634146341463414,1.0,0.45595854922279794
Engineered only,log_mean_tests,34,0.1407206952571869,0.30290406942367554,0.5173315036668781,0.945288947359893,0.9835047619047619,0.8481675392670157,0.801980198019802,0.9,0.9699481865284975
Engineered+Prithvi,log_mean_tests,1058,0.16041341423988342,0.2974826395511627,0.5314857545806073,0.9563461627801144,0.991568253968254,0.85,0.7727272727272727,0.9444444444444444,0.9689119170984456
Prithvi only,log_mean_tests,1024,0.5923065543174744,0.687337338924408,0.26927801946808355,0.17634506980285553,0.7429079365079365,0.2571001494768311,0.14853195164075994,0.9555555555555556,0.48497409326424873
