Model,PR-AUC,ROC-AUC,F1,Precision,Recall,Accuracy,Threshold
XGBoost (Engineered),0.9490797868731904,0.988952380952381,0.8333333333333334,0.7843137254901961,0.8888888888888888,0.966839378238342,0.5216687321662903
ResNet-18 + LogReg,0.18907393341363304,0.7271619047619049,0.2637795275590551,0.16028708133971292,0.7444444444444445,0.6124352331606218,0.5006482099229286
DINOv2 + LogReg,0.16890245283229927,0.7605333333333334,0.301255230125523,0.18556701030927836,0.8,0.6538860103626943,0.4029654808437309
MOSAIKS + Ridge,0.14897196917442163,0.7330793650793651,0.25722543352601157,0.1478405315614618,0.9888888888888889,0.46735751295336786,-0.3883399093497246
Prithvi-300M Linear,0.07840665058582086,0.44608888888888887,0.17647058823529413,0.0967741935483871,1.0,0.12953367875647667,0.5475102066993713
