subsample,reg_lambda,n_estimators,max_depth,learning_rate,colsample_bytree,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_spearman_mean,cv_pr_auc_mean,cv_roc_auc_mean,cv_best_iteration_mean
1.0,1.0,300,6,0.03,0.2,0.07862407118082046,0.009341144524695427,0.034587471187114714,0.5595598731020773,0.5888946443973548,0.8317422375256056,98.6
1.0,10.0,300,2,0.1,0.2,0.0786786824464798,0.009700817419574393,0.03401885628700256,0.5597601825803656,0.600362084935272,0.8342463885149985,28.2
1.0,10.0,300,3,0.01,0.2,0.07868663519620896,0.009782959539707127,0.033960660174489024,0.5645647405519798,0.589637180121151,0.834363566037176,234.6
1.0,30.0,1200,2,0.01,0.8,0.0787379875779152,0.009915301189166103,0.034143857285380365,0.5619444661034911,0.5963617326915762,0.8333876390915351,314.8
0.8,30.0,300,3,0.03,0.8,0.07873944938182831,0.00996993622812709,0.033413296937942503,0.5666943950569705,0.5949044208253284,0.8363980713412579,90.6
0.8,10.0,1200,4,0.03,0.2,0.07874015122652053,0.009815145627421256,0.03366900011897087,0.5631449135740493,0.5880627931452053,0.8332853406658659,105.2
0.8,30.0,1200,3,0.01,0.8,0.07875259220600128,0.009887903227997385,0.033448800444602966,0.5663804010575789,0.5983249138121934,0.8355732149338927,286.0
1.0,3.0,1200,2,0.01,0.2,0.07878353595733642,0.009798439238638317,0.03442482426762581,0.5588342301587137,0.5941823729808432,0.8321339830076209,257.6
1.0,3.0,1200,3,0.05,0.4,0.07878702580928802,0.009689151485734859,0.034240101277828214,0.55457309088942,0.5814518995152503,0.8287775294617076,49.8
0.8,10.0,300,2,0.01,0.8,0.07880410850048065,0.009787753196518187,0.03436592034995556,0.5592513661033657,0.5908472053078847,0.832545625468226,230.2
0.6,10.0,1200,4,0.03,0.8,0.07880791574716568,0.009706782978659822,0.033592937514185905,0.5639459693919315,0.5943515749839478,0.8349406717172938,80.0
0.8,10.0,300,2,0.05,1.0,0.07882265895605087,0.00978416973235932,0.034236586466431615,0.5576235887014006,0.5854230648911176,0.8311009645669379,48.4
1.0,10.0,300,3,0.03,1.0,0.07883031368255615,0.009914033416105824,0.03402280882000923,0.5604599323337778,0.5902333969860407,0.8313505133367418,115.8
0.8,3.0,1200,3,0.03,0.2,0.0788381353020668,0.009677513498000334,0.03438497893512249,0.5559095015653064,0.5836725765197832,0.8306721135537185,76.6
1.0,3.0,600,2,0.1,1.0,0.07885693460702896,0.009790179279056862,0.0343363381922245,0.5580149488726582,0.5945761799587613,0.8323536371610935,44.0
0.6,30.0,600,4,0.01,0.8,0.07885929197072983,0.010109524088600925,0.032961034774780275,0.5658212386230556,0.5962691027777846,0.8359358277667347,279.6
0.6,30.0,600,3,0.1,0.8,0.07886083126068115,0.009984627436196386,0.0339964859187603,0.5600667043255919,0.5953769354758259,0.831335747762413,25.4
1.0,10.0,300,3,0.03,0.8,0.07886412590742112,0.010019338505814067,0.033906348422169684,0.5605347514994847,0.5944552180878613,0.8320651871536574,92.4
