Head,Target,MAE,RMSE,Spearman ρ,PR-AUC,ROC-AUC,F1,Precision,Recall,Accuracy
Linear (NB14),coverage_fraction,0.0310296060801622,0.0346538994194735,-0.3106581950767954,0.0564985047360863,0.2156,0.1644359464627151,0.0899581589958159,0.9555555555555556,0.094300518134715
MLP (NB15),coverage_fraction,0.0314105366510574,0.0349622260215142,0.2258656879185564,0.1618975376336603,0.7172190476190476,0.2533589251439539,0.1531322505800464,0.7333333333333333,0.5968911917098445
XGBoost (NB16),coverage_fraction,0.03500300645828247,0.046263039112091064,0.2572638144576898,0.1540409155983065,0.7216253968253968,0.24776119402985075,0.14310344827586208,0.9222222222222223,0.47772020725388603
Linear (NB14),log_mean_tests,0.5610592544304709,0.6075632269118049,-0.2891069758024587,0.05875939702941,0.2425269841269841,0.1722488038277512,0.094240837696335,1.0,0.1036269430051813
MLP (NB15),log_mean_tests,0.5665271304349024,0.6116986575903282,0.2059113908157737,0.1705734448461353,0.6950349206349207,0.1712654614652711,0.0936524453694068,1.0,0.0974093264248704
XGBoost (NB16),log_mean_tests,0.5859448313713074,0.6856243014335632,0.25813452399132,0.1730709053692059,0.7379301587301588,0.26749611197511663,0.15551537070524413,0.9555555555555556,0.5119170984455959
