Region,Model,N chips,MAE,RMSE,Spearman rho,Mean residual
Urban,Prithvi-only,1,2.4009431821262526,2.4009431821262526,,-2.4009431821262526
Urban,Fusion,1,0.18844767631646864,0.18844767631646864,,-0.18844767631646864
Rural,Prithvi-only,10,0.58289914727211,0.5830161060445432,,0.58289914727211
Rural,Fusion,10,0.048040407709777355,0.08609713176434002,,0.048040407709777355
