Model,Target,Dims,MAE,RMSE,Spearman ρ,PR-AUC,ROC-AUC,F1,Precision,Recall,Accuracy
DINOv2,coverage_fraction,768,0.031226901045717303,0.04188488087286375,0.21715995595007379,0.14419367404965205,0.7071746031746032,0.24546722454672246,0.14035087719298245,0.9777777777777777,0.43937823834196893
MOSAIKS,coverage_fraction,4096,0.040099588813457675,0.046989295089078766,0.26207320372283804,0.14776046649772498,0.730768253968254,0.26176470588235295,0.15084745762711865,0.9888888888888889,0.47979274611398964
ResNet-18,coverage_fraction,512,0.03626953244336746,0.04547129766549262,0.17464218811519416,0.12644280512386133,0.6655492063492063,0.24232081911262798,0.1431451612903226,0.7888888888888889,0.5398963730569948
DINOv2,log_mean_tests,768,0.5313638219580317,0.643458983129992,0.250069715414274,0.15312771121115587,0.7330539682539683,0.260596546310832,0.15173674588665448,0.9222222222222223,0.5119170984455959
MOSAIKS,log_mean_tests,4096,0.6858851693023303,0.7878481144780384,0.2635491430054639,0.14936388914520687,0.7337904761904762,0.2590975254730713,0.1490787269681742,0.9888888888888889,0.47253886010362695
ResNet-18,log_mean_tests,512,0.5832161533829124,0.6989374017535257,0.20964033643539498,0.16374057447394064,0.6920126984126984,0.23890784982935154,0.14112903225806453,0.7777777777777778,0.5378238341968912
