Head,Target,MAE,RMSE,Spearman ρ,PR-AUC,ROC-AUC,F1
Linear,coverage_fraction,0.03269177070171927,0.03602407701356126,0.2370277094318981,0.14409925147177174,0.7154412698412698,0.2535211267605634
MLP,coverage_fraction,0.031272518247256825,0.03484948726092009,-0.06492530304925515,0.11977834745976096,0.43603174603174605,0.17094017094017094
Linear,log_mean_tests,0.5662306144982239,0.611470993458928,0.007302740953537514,0.0903257811951559,0.5171174603174603,0.18423973362930077
MLP,log_mean_tests,0.5648722819013116,0.6104384848205452,0.1498284806856001,0.11812151931699875,0.635968253968254,0.21226415094339623
