patch_id,lon,lat,label_confidence,has_coverage,ntl,builtup,elevation,total_tests,n_subtiles,mean_tests,coverage_fraction,log_mean_tests,split
patch_020009,87.74000000000075,8.899999999999986,confirmed_negative,0,0.123317348557549,,,0.0,0.0,0.0,0.0,0.0,train
patch_032280,86.00000000000068,10.399999999999972,confirmed_negative,0,0.1059674601458061,,,0.0,0.0,0.0,0.0,0.0,train
patch_018565,89.66000000000082,8.719999999999986,confirmed_negative,0,0.0985036928602586,,,0.0,0.0,0.0,0.0,0.0,train
patch_126826,90.92000000000088,21.919999999999902,confirmed_negative,0,0.1288311649409408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,test
patch_071378,70.2800000000001,15.19999999999994,confirmed_negative,0,0.1262635987438882,,,0.0,0.0,0.0,0.0,0.0,train
patch_047611,90.74000000000088,12.259999999999964,confirmed_negative,0,0.0807595005918516,,,0.0,0.0,0.0,0.0,0.0,val
patch_031422,93.56000000000095,10.279999999999974,confirmed_negative,0,0.0579851445641125,,,0.0,0.0,0.0,0.0,0.0,train
patch_031763,84.50000000000063,10.339999999999977,confirmed_negative,0,0.1159866866479126,,,0.0,0.0,0.0,0.0,0.0,train
patch_011323,68.42000000000002,7.879999999999992,confirmed_negative,0,0.1528423426491418,,,0.0,0.0,0.0,0.0,0.0,train
patch_002527,72.02000000000015,6.799999999999999,confirmed_negative,0,0.1526255580365391,,,0.0,0.0,0.0,0.0,0.0,val
patch_056510,93.32000000000096,13.339999999999955,confirmed_negative,0,0.0806925596098042,,,0.0,0.0,0.0,0.0,0.0,train
patch_021096,93.920000000001,9.019999999999984,confirmed_negative,0,0.0971811587422779,,,0.0,0.0,0.0,0.0,0.0,train
patch_060010,96.68000000000109,13.759999999999952,confirmed_negative,0,0.0460349552326203,,,0.0,0.0,0.0,0.0,0.0,train
patch_105638,89.0000000000008,19.33999999999992,confirmed_negative,0,0.1305096827150429,,,0.0,0.0,0.0,0.0,0.0,train
patch_003433,96.86000000000112,6.859999999999998,confirmed_negative,0,0.087537934118157,,,0.0,0.0,0.0,0.0,0.0,train
patch_108086,88.28000000000077,19.639999999999915,confirmed_negative,0,0.1379676432701059,,,0.0,0.0,0.0,0.0,0.0,train
patch_024076,95.60000000000105,9.37999999999998,confirmed_negative,0,0.0814423670883608,,,0.0,0.0,0.0,0.0,0.0,train
patch_102197,89.1800000000008,18.919999999999924,confirmed_negative,0,0.1334196605431852,,,0.0,0.0,0.0,0.0,0.0,train
patch_064008,70.88000000000011,14.299999999999953,confirmed_negative,0,0.1129644824847082,,,0.0,0.0,0.0,0.0,0.0,train
patch_075691,92.90000000000096,15.679999999999945,confirmed_negative,0,0.0621594852973784,,,0.0,0.0,0.0,0.0,0.0,train
patch_085980,90.32000000000085,16.939999999999934,confirmed_negative,0,0.0947369788043805,,,0.0,0.0,0.0,0.0,0.0,train
patch_028349,86.3000000000007,9.919999999999977,confirmed_negative,0,0.1377767338915028,,,0.0,0.0,0.0,0.0,0.0,train
patch_013230,94.280000000001,8.05999999999999,confirmed_negative,0,0.1215906055763769,,,0.0,0.0,0.0,0.0,0.0,train
patch_049483,84.98000000000064,12.499999999999964,confirmed_negative,0,0.1210863188907014,,,0.0,0.0,0.0,0.0,0.0,val
patch_012337,70.22000000000008,7.999999999999989,confirmed_negative,0,0.1498183367899825,,,0.0,0.0,0.0,0.0,0.0,train
patch_037457,71.90000000000015,11.05999999999997,confirmed_negative,0,0.1429130764790772,0.0,,0.0,0.0,0.0,0.0,0.0,train
patch_027336,84.56000000000063,9.79999999999998,confirmed_negative,0,0.1219059795465387,,,0.0,0.0,0.0,0.0,0.0,train
patch_016184,94.400000000001,8.419999999999987,confirmed_negative,0,0.0994524798407078,,,0.0,0.0,0.0,0.0,0.0,train
patch_017182,95.24000000000105,8.539999999999987,confirmed_negative,0,0.0888987130485815,,,0.0,0.0,0.0,0.0,0.0,train
patch_085382,83.9600000000006,16.87999999999993,confirmed_negative,0,0.1236778155629926,,,0.0,0.0,0.0,0.0,0.0,train
patch_090524,97.28000000000112,17.47999999999993,confirmed_negative,0,0.0987869898097858,0.0,64.70012019230768,0.0,0.0,0.0,0.0,0.0,train
patch_016518,84.92000000000064,8.479999999999988,confirmed_negative,0,0.1159118638034094,,,0.0,0.0,0.0,0.0,0.0,train
patch_090526,97.40000000000111,17.47999999999993,confirmed_negative,0,0.0893775505816623,0.3328223083138245,30.612049141270784,0.0,0.0,0.0,0.0,0.0,train
patch_010348,68.96000000000004,7.75999999999999,confirmed_negative,0,0.1505186951377138,,,0.0,0.0,0.0,0.0,0.0,train
patch_083612,95.84000000000106,16.639999999999933,confirmed_negative,0,0.1056722786475297,,,0.0,0.0,0.0,0.0,0.0,val
patch_067905,68.54000000000002,14.779999999999944,confirmed_negative,0,0.1516376792563543,,,0.0,0.0,0.0,0.0,0.0,train
patch_014019,82.58000000000055,8.179999999999989,confirmed_negative,0,0.1332193018564156,,,0.0,0.0,0.0,0.0,0.0,train
patch_008327,95.30000000000103,7.4599999999999955,confirmed_negative,0,0.0760942649202073,,,0.0,0.0,0.0,0.0,0.0,train
patch_072182,89.0000000000008,15.259999999999945,confirmed_negative,0,0.1114790797060776,,,0.0,0.0,0.0,0.0,0.0,val
patch_038931,71.78000000000014,11.239999999999968,confirmed_negative,0,0.139011928261704,0.0,,0.0,0.0,0.0,0.0,0.0,train
patch_063860,91.52000000000088,14.239999999999943,confirmed_negative,0,0.0980032210868512,,,0.0,0.0,0.0,0.0,0.0,train
patch_116478,89.96000000000083,20.659999999999908,confirmed_negative,0,0.1220457636524722,,,0.0,0.0,0.0,0.0,0.0,train
patch_064179,81.1400000000005,14.299999999999953,confirmed_negative,0,0.1240755358954172,,,0.0,0.0,0.0,0.0,0.0,train
patch_039410,71.00000000000011,11.299999999999969,confirmed_negative,0,0.1355161369167286,,,0.0,0.0,0.0,0.0,0.0,train
patch_022502,89.72000000000082,9.199999999999983,confirmed_negative,0,0.0887559521647286,,,0.0,0.0,0.0,0.0,0.0,train
patch_013566,84.92000000000064,8.11999999999999,confirmed_negative,0,0.1154562719154956,,,0.0,0.0,0.0,0.0,0.0,train
patch_088412,88.64000000000078,17.239999999999934,confirmed_negative,0,0.1302781963747675,,,0.0,0.0,0.0,0.0,0.0,train
patch_030047,70.10000000000008,10.159999999999975,confirmed_negative,0,0.1492388470214617,,,0.0,0.0,0.0,0.0,0.0,train
patch_042143,87.38000000000073,11.599999999999968,confirmed_negative,0,0.0970258788398599,,,0.0,0.0,0.0,0.0,0.0,val
patch_008383,69.14000000000006,7.519999999999993,confirmed_negative,0,0.150687966740607,,,0.0,0.0,0.0,0.0,0.0,val
patch_020238,71.96000000000015,8.959999999999985,confirmed_negative,0,0.1304892835127417,,,0.0,0.0,0.0,0.0,0.0,train
patch_022848,80.9600000000005,9.259999999999982,confirmed_negative,0,0.1520933406437088,,,0.0,0.0,0.0,0.0,0.0,train
patch_100757,91.34000000000088,18.739999999999924,confirmed_negative,0,0.1271733854634129,,,0.0,0.0,0.0,0.0,0.0,train
patch_016533,85.82000000000068,8.479999999999984,confirmed_negative,0,0.1084032696904103,,,0.0,0.0,0.0,0.0,0.0,train
patch_038303,93.14000000000097,11.119999999999967,confirmed_negative,0,0.0867844203299066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,val
patch_000880,91.28000000000088,6.560000000000001,confirmed_negative,0,0.1083736302551727,,,0.0,0.0,0.0,0.0,0.0,train
patch_048631,92.90000000000096,12.379999999999962,confirmed_negative,0,0.1106905701883089,,,0.0,0.0,0.0,0.0,0.0,train
patch_061360,89.1200000000008,13.939999999999952,confirmed_negative,0,0.1188886073701219,,,0.0,0.0,0.0,0.0,0.0,val
patch_027637,73.1000000000002,9.859999999999978,confirmed_negative,0,0.1336131387759778,,,0.0,0.0,0.0,0.0,0.0,train
patch_066314,91.16000000000088,14.539999999999944,confirmed_negative,0,0.0746204706100216,,,0.0,0.0,0.0,0.0,0.0,train
patch_005523,74.66000000000025,7.159999999999995,confirmed_negative,0,0.1511866021711463,,,0.0,0.0,0.0,0.0,0.0,train
